City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Paamiut,61.994,-49.6678,24.71,92,0,14.34,GL,1612111946
Thinadhoo,0.5333,72.9333,82.85,75,99,12.62,MV,1612111946
Jining,35.405,116.5814,43.23,53,91,7.09,CN,1612111946
Charters Towers,-20.1,146.2667,70.97,85,85,5.21,AU,1612111946
Yelizovo,53.1873,158.3805,12.2,79,60,4.47,RU,1612111947
Radinac,44.6267,20.967,44.01,100,75,13.8,RS,1612111947
Airai,-8.9266,125.4092,61.39,100,100,3.15,TL,1612111712
Piet Retief,-27.0071,30.8132,66.69,96,87,2.57,ZA,1612111947
Abalak,58.1286,68.5944,6.89,96,72,2.62,RU,1612111947
Guerrero Negro,27.9769,-114.0611,62.64,40,91,1.77,MX,1612111947
Tondano,1.3038,124.9112,75.2,100,40,2.46,ID,1612111948
Lagoa,39.05,-27.9833,61.92,91,99,28.32,PT,1612111717
Uruçuí,-7.2294,-44.5561,92.59,43,82,7.14,BR,1612111948
Dukat,62.55,155.55,-40.77,79,100,6.02,RU,1612111948
Lata,40.1629,-8.3327,60.01,94,100,1.99,PT,1612111869
Karratha,-20.7377,116.8463,87.96,55,90,9.08,AU,1612111949
Östersund,63.1792,14.6357,12.0,92,75,1.19,SE,1612111949
Seminole,28.7086,-81.2081,73.99,56,90,12.66,US,1612111950
Imeni Babushkina,59.7573,43.1285,22.95,98,100,3.62,RU,1612111950
Taltal,-25.4,-70.4833,71.94,58,10,5.91,CL,1612111950
Carnarvon,-24.8667,113.6333,82.4,74,12,16.11,AU,1612111950
Srīvardhan,18.0333,73.0167,75.74,58,0,6.49,IN,1612111950
Bulolo,-7.2,146.65,71.74,69,100,2.91,PG,1612111950
Mopti,14.6667,-4.0,90.77,10,99,8.95,ML,1612111950
Konstantinovskiy,57.8301,39.5899,24.8,86,90,8.95,RU,1612111950
Saint Anthony,45.0205,-93.218,32.0,86,90,5.75,US,1612111951
Phang Nga,8.4509,98.5298,80.6,61,20,14.97,TH,1612111951
Baní,18.2833,-70.3333,79.0,73,75,11.5,DO,1612111951
Eureka,40.8021,-124.1637,53.6,76,90,19.57,US,1612111951
Ulladulla,-35.35,150.4667,66.2,100,90,2.77,AU,1612111951
Toktogul,41.8708,72.9402,19.99,53,95,1.01,KG,1612111951
Rujewa,-8.7,34.3833,69.06,86,100,1.66,TZ,1612111952
Tupik,54.4253,119.9327,-27.62,82,100,3.02,RU,1612111952
Bundaberg,-24.85,152.35,73.99,94,40,5.75,AU,1612111952
Petropavlovsk-Kamchatskiy,53.0452,158.6483,12.2,79,79,4.47,RU,1612111952
Ellensburg,46.9965,-120.5479,41.0,75,90,11.5,US,1612111765
Leh,34.1667,77.5833,10.09,61,90,0.67,IN,1612111952
Marsabit,2.3284,37.9899,72.14,39,84,8.23,KE,1612111952
Eten,-6.9081,-79.8642,82.4,54,0,11.5,PE,1612111953
Kuli,42.0185,47.2434,44.6,65,40,6.91,RU,1612111953
Kruisfontein,-34.0033,24.7314,73.99,70,0,5.01,ZA,1612111953
Elban,50.1018,136.5094,-17.43,87,88,6.46,RU,1612111953
Sibanicú,21.235,-77.5264,80.6,61,20,12.66,CU,1612111953
Lorengau,-2.0226,147.2712,82.27,80,100,9.37,PG,1612111732
San Andrés,12.5847,-81.7006,84.2,65,20,16.11,CO,1612111953
Chumikan,54.7183,135.315,-20.13,76,29,25.41,RU,1612111954
Moïssala,8.3404,17.7663,89.31,16,0,3.51,TD,1612111954
Belaya Gora,68.5333,146.4167,-36.47,83,98,4.94,RU,1612111857
Muyezerskiy,63.9333,31.65,6.08,95,53,2.51,RU,1612111954
Nan,18.8333,100.6667,67.62,65,80,1.16,TH,1612111954
San Quintín,30.4833,-115.95,59.45,59,93,0.36,MX,1612111954
Kariba,-16.5167,28.8,76.87,84,98,0.76,ZW,1612111955
Ozinki,51.1786,49.6769,24.53,98,100,18.57,RU,1612111955
Maniitsoq,65.4167,-52.9,14.41,74,0,6.82,GL,1612111955
Jackson,42.4165,-122.8345,53.6,43,75,19.57,US,1612111876
Bonthe,7.5264,-12.505,84.88,62,53,12.5,SL,1612111955
Santa Marta,11.2408,-74.199,88.0,62,47,1.01,CO,1612111955
Vrede,-27.4257,29.1659,65.48,88,78,6.58,ZA,1612111956
Caceres,39.522,-6.3748,59.0,88,95,11.99,ES,1612111956
Vostok,46.4856,135.8833,-10.98,85,45,3.24,RU,1612111957
Balabac,7.9868,117.0645,80.26,78,94,16.24,PH,1612111957
Mujiayingzi,42.1167,118.7833,19.22,89,0,15.88,CN,1612111957
Saldanha,-33.0117,17.9442,67.87,83,32,9.33,ZA,1612111805
Solnechnyy,50.7214,136.6319,-17.97,84,18,2.89,RU,1612111958
Hare Bay,48.8499,-54.0148,30.2,100,100,5.75,CA,1612111958
Progreso,21.2833,-89.6667,84.0,61,1,4.61,MX,1612111958
Vila,42.0304,-8.1588,54.0,93,92,20.0,PT,1612111958
Usinsk,65.9939,57.5281,6.04,95,96,10.89,RU,1612111958
Were Īlu,10.6,39.4333,52.7,44,0,8.3,ET,1612111958
Moranbah,-22.0016,148.0466,69.78,87,23,11.27,AU,1612111958
Big Spring,32.2504,-101.4787,52.0,43,1,17.27,US,1612111903
Quatre Cocos,-20.2078,57.7625,82.4,74,75,11.5,MU,1612111959
Ankang,32.68,109.0172,45.0,42,44,1.99,CN,1612111959
Samarai,-10.6167,150.6667,82.42,75,69,15.12,PG,1612111959
Fes,34.0372,-4.9998,60.8,59,75,8.05,MA,1612111959
Khani,41.9563,42.9566,50.0,62,90,2.3,GE,1612111959
Chunhuhub,19.55,-88.6833,83.59,54,84,4.41,MX,1612111960
Jalu,29.0331,21.5482,68.54,24,0,10.11,LY,1612111961
Almaty,43.25,76.95,26.6,68,75,4.47,KZ,1612111961
Kharagpur,22.3333,87.3333,56.48,35,4,1.63,IN,1612111961
Paraíso,9.8383,-83.8656,78.8,60,0,18.41,CR,1612111961
Bernalillo,35.05,-106.6673,37.99,48,1,11.5,US,1612111961
Shimoda,34.6667,138.95,36.0,70,77,1.01,JP,1612111961
Huai Yot,7.7893,99.6348,73.71,87,20,5.5,TH,1612111961
Port Lincoln,-34.7333,135.8667,62.28,80,91,11.54,AU,1612111962
Iporá,-16.4419,-51.1178,86.86,55,76,4.32,BR,1612111765
Kiama,-34.6833,150.8667,68.0,95,100,1.01,AU,1612111962
Warrnambool,-38.3833,142.4833,51.01,93,1,6.24,AU,1612111962
Gambēla,8.25,34.5833,89.47,26,15,1.48,ET,1612111962
Tarija,-21.5355,-64.7296,76.55,51,8,5.55,BO,1612111962
Cap-aux-Meules,47.3821,-61.8597,33.8,80,100,16.11,CA,1612111962
Gravdal,68.1214,13.5031,19.4,79,0,4.61,NO,1612111963
Adrar,20.5022,-10.0711,83.86,13,29,8.19,MR,1612111963
Baruun-Urt,46.6806,113.2792,-14.28,87,92,6.15,MN,1612111963
Matiari,25.5961,68.4467,62.6,59,0,6.91,PK,1612111963
Buta,2.7858,24.73,80.92,33,100,3.04,CD,1612111963
Hambantota,6.1241,81.1185,78.28,81,51,15.1,LK,1612111963
Kuusamo,65.9667,29.1833,10.4,79,75,5.75,FI,1612111964
Bull Savanna,17.8868,-77.5902,80.37,65,48,15.3,JM,1612111964
Mabai,23.0128,104.4508,49.82,100,99,3.67,CN,1612111964
Portree,57.4129,-6.1942,32.0,79,98,4.0,GB,1612111964
Muroto-misakicho,33.2833,134.15,51.71,57,14,2.89,JP,1612111723
Vitória da Conquista,-14.8661,-40.8394,81.18,53,25,6.62,BR,1612111799
Bereda,43.2686,-7.5406,55.99,88,84,20.0,ES,1612111965
Atambua,-9.1061,124.8925,74.25,91,100,6.11,ID,1612111752
Codrington,-38.2667,141.9667,51.89,87,20,5.97,AU,1612111965
Mount Abu,24.6,72.7,50.9,41,0,3.27,IN,1612111965
Lufilufi,-13.8745,-171.5986,80.6,89,90,8.05,WS,1612111965
Dicabisagan,17.0818,122.4157,71.67,82,98,9.35,PH,1612111965
Bar Harbor,44.3876,-68.2039,19.99,49,1,10.36,US,1612111965
Nouadhibou,20.931,-17.0347,73.4,60,0,16.11,MR,1612111966
Lake City,30.1897,-82.6393,75.0,56,90,16.11,US,1612111966
Necochea,-38.5473,-58.7368,64.0,57,98,5.99,AR,1612111966
Karatau,43.1667,70.4667,41.49,68,100,6.2,KZ,1612111966
Verrettes,19.05,-72.4667,86.0,42,40,16.11,HT,1612111966
Luganville,-15.5333,167.1667,77.54,80,76,1.41,VU,1612111966
Nara,34.6851,135.8049,37.99,69,0,2.19,JP,1612111966
Puducherry,11.93,79.83,75.67,81,0,12.26,IN,1612111967
Praia,14.9215,-23.5087,80.6,47,0,18.41,CV,1612111967
Kommunar,59.6206,30.39,24.8,93,75,4.47,RU,1612111967
Cayenne,4.9333,-52.3333,84.2,74,90,14.97,GF,1612111967
Touros,-5.1989,-35.4608,87.8,58,40,18.41,BR,1612111967
La Jagua del Pilar,10.5102,-73.071,92.77,38,33,8.01,CO,1612111967
Kusu,33.2831,131.1514,41.0,74,7,3.0,JP,1612111968
Christchurch,-43.5333,172.6333,57.2,94,75,4.61,NZ,1612111729
Caibarién,22.5206,-79.4669,77.0,61,40,9.22,CU,1612111968
Kalianget,-7.05,113.9333,78.75,84,100,14.43,ID,1612111968
Bojnourd,37.4747,57.329,41.0,52,0,4.61,IR,1612111968
Chachapoyas,-6.2317,-77.869,66.92,56,22,2.62,PE,1612111968
Kang,-23.6752,22.7876,76.55,67,71,9.48,BW,1612111968
Waipawa,-41.4122,175.5153,57.2,77,58,13.8,NZ,1612111969
Djibo,14.1022,-1.6306,89.83,10,38,8.37,BF,1612111969
Salalah,17.0151,54.0924,73.4,64,0,4.61,OM,1612111969
Verāval,20.9,70.3667,70.09,60,0,8.68,IN,1612111969
Acarí,-15.4311,-74.6158,82.76,43,33,11.59,PE,1612111969
Fernie,49.5,-115.0687,30.2,86,95,2.3,CA,1612111969
Ascension,30.2169,-90.9001,70.0,68,75,11.5,US,1612111969
Padang,-0.9492,100.3543,77.67,77,87,4.54,ID,1612111970
Carberry,49.8689,-99.3602,17.6,86,90,9.22,CA,1612111970
Portland,45.5234,-122.6762,48.0,81,90,16.11,US,1612111202
Los Amates,15.2667,-89.1,82.4,54,20,4.61,GT,1612111970
San Cristobal,7.7669,-72.225,87.8,42,40,16.11,VE,1612111970
Murdochville,48.9583,-65.5006,23.0,86,97,14.97,CA,1612111970
Aklavik,68.2191,-135.0107,-16.6,76,90,6.91,CA,1612111970
Challans,46.8436,-1.8749,53.6,94,90,14.97,FR,1612111971
Otradnoye,59.7775,30.8181,24.8,93,75,4.47,RU,1612111822
Kulhudhuffushi,6.6221,73.07,82.0,75,45,9.71,MV,1612111971
Tessalit,20.1986,1.0114,80.08,12,58,9.37,ML,1612111971
Manavālakurichi,8.1333,77.3,84.2,70,40,3.44,IN,1612111971
Burdur,37.7203,30.2908,42.8,81,75,4.61,TR,1612111971
Ishigaki,24.3448,124.1572,68.29,70,42,14.88,JP,1612111689
Luga,58.7372,29.8453,20.46,97,98,5.97,RU,1612111971
Vallenar,-28.5708,-70.7581,87.24,22,0,12.01,CL,1612111972
Bahía Blanca,-38.7196,-62.2724,74.68,32,100,16.46,AR,1612111944
Chengde,40.9725,117.9361,23.29,89,1,6.44,CN,1612111972
Palmer,42.1584,-72.3287,14.0,52,40,3.44,US,1612111972
Havelock,34.8791,-76.9013,55.0,93,100,5.01,US,1612111848
Hay River,60.8156,-115.7999,-16.6,76,100,5.75,CA,1612111972
Panama City,8.9936,-79.5197,87.8,66,20,14.97,PA,1612111693
Coolum Beach,-26.5333,153.1,75.99,98,32,10.94,AU,1612111973
Mashhad,36.297,59.6062,51.8,30,0,6.91,IR,1612111914
Gaza,31.5,34.4667,62.01,22,0,7.63,PS,1612111973
Kondinskoye,59.6481,67.41,5.13,95,90,4.29,RU,1612111973
Akureyri,65.6835,-18.0878,6.8,85,0,4.61,IS,1612111973
Pemberton,50.3164,-122.8027,30.2,93,90,4.74,CA,1612111973
Stephenville,32.2207,-98.2023,46.4,57,1,18.41,US,1612111974
Mocuba,-16.8392,36.9856,77.29,94,63,4.54,MZ,1612111974
Qandala,11.472,49.8728,73.42,60,1,6.87,SO,1612111974
Gamboma,-1.8764,15.8644,79.7,71,80,2.77,CG,1612111815
Tyrma,50.0833,132.1667,-24.72,82,5,2.57,RU,1612111974
Owando,-0.4819,15.8999,79.74,71,26,3.47,CG,1612111974
Il'inskoye-Khovanskoye,56.9718,39.7684,24.8,86,90,8.95,RU,1612111975
Esik,43.3552,77.4525,26.6,68,75,4.47,KZ,1612111996
Zhigansk,66.7697,123.3711,-44.91,75,22,3.85,RU,1612111996
Colesberg,-30.72,25.0972,82.06,14,0,16.71,ZA,1612111996
La Paz,-16.5,-68.15,58.08,53,29,4.03,BO,1612111714
Bechem,7.0903,-2.025,94.01,29,31,2.01,GH,1612111997
Mareeba,-17.0,145.4333,77.0,83,40,4.61,AU,1612111997
Kungurtug,50.5994,97.5228,-15.68,82,97,1.54,RU,1612111997
Muli,2.9167,73.5667,81.72,79,50,15.5,MV,1612111997
Adré,13.4667,22.2,74.25,20,2,5.53,TD,1612111997
Luanda,-8.8368,13.2343,86.0,62,20,12.66,AO,1612111879
Totoral,-17.4053,-70.365,72.0,36,9,9.6,PE,1612111997
Torit,4.4133,32.5678,89.47,16,89,10.0,SS,1612111997
Kloulklubed,7.0419,134.2556,80.6,78,75,8.05,PW,1612111998
Algiers,36.7525,3.042,60.8,59,20,20.71,DZ,1612111998
Wanlaweyn,2.6185,44.8938,76.21,66,6,20.11,SO,1612111998
Arman',59.7,150.1667,-15.03,76,99,12.86,RU,1612111998
Abay,49.6311,72.8539,12.2,73,0,6.71,KZ,1612111998
Okhotsk,59.3833,143.3,-13.76,77,0,16.71,RU,1612111998
